IngTotalPrin,IngLiquiPrin,IngLiquiSecun,ID
3566,1296,303,671112030216961
200,200,40,781112030216961
160,160,160,2171112070447009
90,90,180,1241215051238171
900,900,600,1241215051248171
400,400,800,211117010118384
2300,2300,180,931118010118504
850,850,100,511118010148512
30,30,258,501120030828942
20,20,50,1151121070539067
2000,1740,1000,121122090119228
500,500,50,311122090129228
3200,2900,500,521122090119231
210,210,20,421124030239575
700,700,1500,341125010729667
400,400,50,981121509410013
790,790,160,3411200115210308
2300,701,250,9511211305110353
200,200,60,281110101110404
350,350,100,531110101110404
600,600,150,4111120303211345
390,390,30,51110203115062
2319,1269,500,961110607115106
160,160,303,451120105115287
950,829,30,761140104115534
40,40,400,571140104115631
100,100,150,1971140206315750
850,850,160,11611100101116692
200,200,600,8711110507116961
330,330,180,10211110507216961
1000,1000,1000,4711110106317087
1100,1100,30,6611150103217829
700,550,600,11211150143118203
240,240,720,13311150132318206
930,810,50,5411150203218448
7000,3625,850,3811160113118591
3500,3120,4200,9611160101118619
150,150,480,1211170101118784
2300,2000,100,5311180101218925
180,180,1000,13411200115319190
1248,1086,120,11511200115519221
350,350,280,911200501119249
140,140,40,14711200602119263
160,160,240,1511210204119464
450,450,300,9811230110219938
120,120,217,58112010135264
100,100,150,58114070625684
1800,1566,160,58119010136363
4200,2836,300,81110010116513
1500,1305,600,391110010216522
3300,3165,800,81110060426548
950,855,430,571113011147136
3200,2824,1854,851114010117289
70,70,300,431114010847471
90,90,150,1251114010817471
180,180,50,831115012517502
4000,3480,700,971115012817586
35,35,15,431117010128374
214,214,30,731117010118387
1150,1008,560,1351118010118511
930,930,450,1041120050518830
6800,5116,2000,681120060118839
1600,1600,1005,681120060138839
210,210,150,1151120040218898
40,40,12,841120080158904
930,810,75,781121409510022
200,200,837,801121409110022
400,400,300,3411230101211412
1100,1030,30,1371140129115607
585,585,75,14311100605116733
1020,890,140,7311110201116956
2500,2175,930,10211110103216973
400,400,1139,5411130104117444
800,800,50,5511140105217629
3000,2610,1000,2311150116317792
5000,3950,2510,6611150116117792
700,700,6000,2111150117317895
3400,2692,2128,10311160801218696
200,200,1818,411211101119468
900,820,140,5922230110319832
2000,1870,400,7711230110219832
200,200,30,12111230101219857
